T081 FULL-CORPUS CI RUN   2026-08-15
files discovered: 809   GREEN: 775    RED/TIMEOUT/SKIP: 34   total runtime: 3004.4s
==============================================================================
GREEN       0.0s   nbody_2026/stage10_two_field_construction_2026.py    ALL 11 CHECKS PASSED (incl. 2 negative controls)
GREEN       0.0s   nbody_2026/stage11_30_200kpc_confrontation_2026.py    ALL 8 CHECKS PASSED (incl. 2 negative controls)
GREEN       0.1s   nbody_2026/stage12_lensing_stack_fit_2026.py    ALL 6 CHECKS PASSED (incl. 1 negative control)
GREEN       0.2s   nbody_2026/stage13_gamma_zero_sector_2026.py    ALL 11 CHECKS PASSED (incl. 1 negative control)
GREEN       0.0s   nbody_2026/stage14_forest_bound_done_right_2026.py    ALL 9 CHECKS PASSED (incl. 1 negative control)
GREEN       0.0s   nbody_2026/stage15_forest_likelihood_mapping_2026.py    ALL 5 CHECKS PASSED
TIMEOUT    60.1s   nbody_2026/stage16_lognormal_forest_mock_2026.py    hard per-file timeout
GREEN       0.4s   nbody_2026/stage17_a0z_from_the_action_2026.py    ================================================================================
GREEN       2.2s   nbody_2026/stage18_perturbation_matrix_with_mixing_2026.py    ================================================================================
GREEN       1.1s   nbody_2026/stage19_class_rerun_derived_law_2026.py    ================================================================================
GREEN       2.4s   nbody_2026/stage1_condensate_relaxation_2026.py    ALL 11 CHECKS PASSED (9 checks + 2 negative controls)
GREEN       0.3s   nbody_2026/stage20_beta_equals_one_derivation_2026.py    ================================================================================
GREEN       0.0s   nbody_2026/stage21_muse_msa_reexam_derived_law_2026.py    ================================================================================
TIMEOUT    60.0s   nbody_2026/stage22_covariant_svt_decomposition_2026.py    hard per-file timeout
GREEN       1.6s   nbody_2026/stage23_s8_confrontation_2026.py    ================================================================================
GREEN       0.3s   nbody_2026/stage24_cosmic_dawn_confrontation_2026.py    ================================================================================
GREEN       0.2s   nbody_2026/stage25_cosmic_dawn_own_terms_2026.py    ================================================================================
GREEN       0.7s   nbody_2026/stage26_collapse_acceleration_own_terms_2026.py    ================================================================================
TIMEOUT    60.0s   nbody_2026/stage27_clusters_base_a_derived_2026.py    hard per-file timeout
